emotion_quadrant,music_name,avg_note_velocity,std_note_velocity,total_midi_events,num_note_on_events,pitch_range,min_note_pitch
Q1 Q2 Q3 Q4,string,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,,,,,,
Q1,Q1_0vLPYiPN7qY_0,31.8728,33.3239,366,338,55,36
Q1,Q1_0vLPYiPN7qY_1,25.4192,26.3662,898,842,43,36
Q1,Q1_0vLPYiPN7qY_2,30.8186,32.3385,770,700,57,29
Q1,Q1_1Qc15G0ZHIg_2,36.7859,37.5463,784,696,48,28
Q1,Q1_1Qc15G0ZHIg_3,39.63,40.3054,592,546,50,33
Q1,Q1_1vjy9oMFa8c_2,34.6089,36.2301,398,358,52,27
Q1,Q1_1vjy9oMFa8c_4,39.9423,40.6584,304,260,55,27
Q1,Q1_1vjy9oMFa8c_5,39.1349,40.1643,978,882,67,24
Q1,Q1_2Z9SjI131jA_0,30.8979,31.5103,650,578,34,45
Q1,Q1_2Z9SjI131jA_1,30.5,31.4749,472,446,50,41
Q1,Q1_2Z9SjI131jA_10,34.4437,34.7862,320,284,49,38
Q1,Q1_2Z9SjI131jA_11,32.3812,35.3504,454,362,52,43
Q1,Q1_2Z9SjI131jA_12,29.4416,30.3961,580,548,50,36
Q1,Q1_2Z9SjI131jA_13,36.9076,37.632,618,498,50,45
Q1,Q1_2Z9SjI131jA_15,37.3716,37.7913,356,296,59,40
Q1,Q1_2Z9SjI131jA_2,35.6817,36.6917,646,578,60,41
Q1,Q1_2Z9SjI131jA_3,32.65,33.6823,382,320,36,41
Q1,Q1_2Z9SjI131jA_4,34.3425,35.2903,516,438,48,36
Q1,Q1_2Z9SjI131jA_7,33.7336,34.2294,480,458,53,38
Q1,Q1_2Z9SjI131jA_8,34.9133,35.415,510,450,49,45
Q1,Q1_2Z9SjI131jA_9,30.6243,32.1325,444,370,43,43
Q1,Q1_3N2G21U7guk_3,37.1199,37.924,840,792,55,29
Q1,Q1_3N2G21U7guk_5,38.7203,39.726,566,522,40,35
Q1,Q1_3ahg_eQZhxs_0,42.7978,43.8246,718,648,60,24
Q1,Q1_3ahg_eQZhxs_1,43.4859,44.7607,548,498,68,26
Q1,Q1_4dXC1cC7crw_0,38.245,39.4889,596,502,51,32
Q1,Q1_5NW0zDu6IYM_2,43.9243,44.4528,1482,1400,64,27
Q1,Q1_60LLKmpgzRM_0,21.1058,23.7376,132,104,55,29
Q1,Q1_6Uf9XBUD3wE_0,35.6433,36.3008,410,356,56,30
Q1,Q1_6Uf9XBUD3wE_1,31.3183,32.4196,1226,1156,67,28
Q1,Q1_6wFJhmhNeeg_0,48.0653,48.5494,1324,1226,51,30
Q1,Q1_7yW9c7t8Hq0_1,43.7619,44.5467,934,840,62,29
Q1,Q1_7yW9c7t8Hq0_3,44.6807,45.513,1074,974,62,29
Q1,Q1_8rupdevqfuI_2,34.3333,35.914,426,396,53,34
Q1,Q1_94ROf10d1iA_0,35.9256,37.269,292,242,50,42
Q1,Q1_94ROf10d1iA_1,36.1242,37.0498,374,314,43,47
Q1,Q1_94ROf10d1iA_2,36.6909,37.2748,156,110,34,39
Q1,Q1_94ROf10d1iA_3,40.8781,41.5463,666,566,55,37
Q1,Q1_9Yb9OEVwups_0,33.9688,35.0457,438,384,40,31
Q1,Q1_9v2WSpn4FCw_1,45.2247,46.0724,336,316,58,26
Q1,Q1_9v2WSpn4FCw_5,44.9382,45.9087,426,372,51,29
Q1,Q1_9v2WSpn4FCw_6,40.568,41.4398,458,412,57,24
Q1,Q1_ANZf1QXsNrY_0,41.1882,42.2856,562,510,75,26
Q1,Q1_ANZf1QXsNrY_3,40.222,41.18,612,572,74,24
Q1,Q1_BGf5nCdzPOc_0,37.4868,38.0501,1136,1062,45,38
Q1,Q1_Cg2u_Ldjv8g_0,24.9468,25.9925,578,526,50,41
Q1,Q1_Cg2u_Ldjv8g_1,27.0216,28.6452,686,602,43,41
Q1,Q1_Fc1qk52SaKY_0,31.5405,32.8546,746,692,57,25
Q1,Q1_Fc1qk52SaKY_1,34.4391,35.3821,700,640,58,27
Q1,Q1_FfwKrQyQ7WU_0,28.2212,29.6068,612,556,40,31
Q1,Q1_FfwKrQyQ7WU_1,32.5936,33.4605,550,502,47,31
Q1,Q1_FfwKrQyQ7WU_2,36.6281,37.1737,452,406,47,31
Q1,Q1_FfwKrQyQ7WU_3,34.9518,35.8216,520,456,47,31
Q1,Q1_GY3f6ckBVkA_0,39.3739,40.4403,440,436,39,61
Q1,Q1_GbUV3TXUzeQ_1,39.5899,40.1444,686,634,69,25
Q1,Q1_GbUV3TXUzeQ_2,36.7394,37.7967,912,852,58,25
Q1,Q1_HY9vPoHbgaI_0,33.3193,34.4506,390,332,43,38
Q1,Q1_HY9vPoHbgaI_2,35.5867,36.6682,518,450,43,41
Q1,Q1_HY9vPoHbgaI_3,35.9571,36.8154,314,280,41,41
Q1,Q1_IH2KrGjKXw0_3,29.0497,30.7254,1078,1006,43,37
Q1,Q1_Ie5koh4qvJc_12,28.1868,29.4573,1794,1756,65,38
Q1,Q1_Ie5koh4qvJc_6,28.2315,30.4604,908,812,72,28
Q1,Q1_J6X3rVU1H-c_2,46.598,47.3595,840,786,60,25
Q1,Q1_JT1XJnVmABo_2,42.4068,43.0183,772,730,75,24
Q1,Q1_JT1XJnVmABo_3,37.1025,38.1662,266,244,49,44
Q1,Q1_JT1XJnVmABo_4,32.4126,33.5887,438,412,41,42
Q1,Q1_JYVXM0qNQAg_0,32.6381,33.2783,546,478,45,36
Q1,Q1_JYVXM0qNQAg_2,35.1992,35.672,538,472,53,40
Q1,Q1_K6OFDxBU370_0,31.3693,32.2988,482,436,52,30
Q1,Q1_KxlqB3j0zys_0,30.9588,32.3554,378,340,48,39
Q1,Q1_KxlqB3j0zys_1,30.6066,32.3001,306,272,47,38
Q1,Q1_NGE9ynTJABg_0,42.1747,43.8997,1016,990,71,26
Q1,Q1_NGE9ynTJABg_2,47.676,48.4338,590,534,62,26
Q1,Q1_NP0lwB-_-og_1,37.0925,37.8393,850,800,48,40
Q1,Q1_POaIGvLsp5M_0,35.3663,35.9589,410,344,38,43
Q1,Q1_POaIGvLsp5M_1,37.5979,38.0332,448,378,31,54
Q1,Q1_PdwxeMPXOCk_0,38.4151,39.0607,846,742,43,34
Q1,Q1_QwsQ8ejbMKg_0,40.1589,41.0489,898,818,61,25
Q1,Q1_RaUSISlnhKw_0,31.0064,32.8002,484,466,64,24
Q1,Q1_RaUSISlnhKw_2,38.4803,39.4113,820,762,72,24
Q1,Q1_SQDuF0qxGQw_2,47.323,47.8899,750,678,79,25
Q1,Q1_SlsXsqotUis_0,45.6814,46.4255,940,904,76,24
Q1,Q1_TNoaOTrTkTQ_1,32.613,33.4711,556,522,58,33
Q1,Q1_TNoaOTrTkTQ_2,34.3973,35.02,438,370,41,43
Q1,Q1_UJcnNfeCN1c_2,34.6379,35.2322,384,348,53,46
Q1,Q1_UJcnNfeCN1c_3,33.9733,34.5193,298,262,36,42
Q1,Q1_UOSlDydo94E_0,36.9389,38.109,482,442,28,36
Q1,Q1_UOSlDydo94E_2,45.0644,46.1177,658,606,72,24
Q1,Q1_UYh88SRZC24_1,44.5841,45.1105,892,856,80,25
Q1,Q1_V3Y9L4UOcpk_2,39.9384,40.8754,734,666,55,30
Q1,Q1_VXgRfsVd_o0_0,40.0682,41.244,334,308,69,31
Q1,Q1_WpZ1rWHOCAQ_2,39.7783,40.2731,666,600,62,26
Q1,Q1_Wy2-my19YnY_0,46.8024,47.2482,616,572,67,26
Q1,Q1_Wy2-my19YnY_1,47.2638,47.7856,650,614,61,25
Q1,Q1_XC_SiJszQx0_3,36.5973,37.3537,826,750,53,29
Q1,Q1_Xsn9zT-05ns_0,41.6253,42.471,826,774,72,24
Q1,Q1_Xsn9zT-05ns_1,45.0693,45.7346,1010,938,79,24
Q1,Q1_Y5JcZQ0xg4Y_0,35.6696,36.2102,242,224,31,53
Q1,Q1_ZgT7yq2jsBk_0,33.6513,34.3745,680,628,67,28
Q1,Q1__BK2o77sTc0_0,30.884,31.3059,582,526,60,38
Q1,Q1__BK2o77sTc0_1,29.913,30.5657,546,506,41,47
Q1,Q1__SJQaaRzD-A_0,37.4022,37.9438,414,368,53,29
Q1,Q1__kJtgm1OUNA_0,35.3866,37.3451,508,476,47,49
Q1,Q1__kJtgm1OUNA_1,43.716,44.3158,758,662,60,29
Q1,Q1_aYe-2Glruu4_0,43.0332,43.7372,702,632,51,29
Q1,Q1_bIx4DwkZxFY_0,32.2089,33.1301,352,292,45,40
Q1,Q1_bIx4DwkZxFY_1,32.6528,33.5821,576,530,58,33
Q1,Q1_bIx4DwkZxFY_2,29.6913,30.4295,426,366,36,38
Q1,Q1_bQS8eAXAhyE_0,37.3446,38.4221,390,354,38,48
Q1,Q1_biROWEwkDQQ_3,38.6607,39.5383,566,504,55,28
Q1,Q1_cB-Xh8H_7-Q_0,32.8414,33.3772,966,870,50,31
Q1,Q1_dfNdpy8TUzA_0,33.2273,34.5283,318,286,41,44
Q1,Q1_dfNdpy8TUzA_2,35.1741,36.2877,438,402,43,37
Q1,Q1_doM_LWo-74A_3,45,45.7725,400,364,72,26
Q1,Q1_doM_LWo-74A_4,48.0675,48.6229,1012,934,74,26
Q1,Q1_e838BE_MH6s_1,43.7749,44.854,454,422,70,24
Q1,Q1_e8NQ2NH0nc8_0,28.9733,30.524,536,486,51,31
Q1,Q1_eVMSeElk81Q_1,46.9086,47.2887,1014,908,65,26
Q1,Q1_fey-8bOR95E_0,42.0872,42.8165,812,780,78,25
Q1,Q1_fey-8bOR95E_1,43.0314,43.4958,876,828,57,31
Q1,Q1_fey-8bOR95E_3,43.7172,44.2348,866,824,60,28
Q1,Q1_gSwv8hZGM-s_0,39.2381,40.054,984,928,72,29
Q1,Q1_gwmVjvR-sVs_1,49.8153,50.3497,440,406,72,24
Q1,Q1_im4Qxn3GQvo_0,30.383,31.8533,590,530,51,30
Q1,Q1_im4Qxn3GQvo_2,35.8612,37.1145,642,562,70,30
Q1,Q1_jziI_cuN_H8_0,41.3432,42.248,644,606,51,26
Q1,Q1_jziI_cuN_H8_1,46.3415,47.2958,790,732,68,26
Q1,Q1_jziI_cuN_H8_2,44.0789,45.3327,1074,988,70,24
Q1,Q1_k4dxAlI5N-k_1,39.937,40.2201,1674,1636,64,37
Q1,Q1_mX-xs3OVhTs_1,38.6395,40.2379,442,380,58,26
Q1,Q1_miqLU2739dk_1,41.6047,42.144,922,888,67,24
Q1,Q1_osxmQReE_2o_0,34.0801,35.8011,682,624,45,38
Q1,Q1_pNwQ9Tu_bCs_0,36.2837,37.0827,496,430,46,33
Q1,Q1_qlbazHayULg_8,39.9658,40.5678,1044,964,60,24
Q1,Q1_r6laJv1-HMg_0,39.7155,40.8134,654,580,53,25
Q1,Q1_s5b8viFsVJE_0,32.4503,33.1084,758,684,55,30
Q1,Q1_s5b8viFsVJE_1,29.6935,31.0559,938,894,58,30
Q1,Q1_s5b8viFsVJE_2,34.2329,34.9497,848,790,62,28
Q1,Q1_sUJ4a74Skk8_0,34.9746,36.0695,422,394,50,28
Q1,Q1_sZe3IB1OVfw_0,31.7119,32.6581,512,472,52,30
Q1,Q1_sZe3IB1OVfw_1,30.3377,31.3015,502,462,52,30
Q1,Q1_uqRLEByE6pU_0,35.4092,35.866,1022,958,62,30
Q1,Q1_uqRLEByE6pU_1,35.014,35.69,382,358,53,30
Q1,Q1_uqRLEByE6pU_2,35.7044,36.1946,1244,1184,67,30
Q1,Q1_vv6nrZ2myXw_0,35.1733,36.3555,496,450,40,44
Q1,Q1_vv6nrZ2myXw_1,37.9279,39.1754,662,596,60,27
Q1,Q1_vv6nrZ2myXw_4,40.2402,41.3533,562,508,60,24
Q1,Q1_wnB2cjd6zbE_0,33.4041,34.0359,880,834,49,29
Q1,Q1_xrhWli_R98g_3,37.3349,38.0072,460,436,58,28
Q1,Q1_yFw_kO7DF-Y_0,45.6343,46.4853,782,722,62,24
Q1,Q1_yFw_kO7DF-Y_2,46.0545,47.1161,1076,990,76,24
Q1,Q1_zHwJG8Rrx6c_0,33.3844,34.5555,354,320,38,44
Q1,Q1_zmZHNy9T8Pg_1,33.2646,34.2529,994,960,56,28
Q1,Q1_zmZHNy9T8Pg_2,37.7955,38.3791,532,484,58,28
Q2,Q2_--2B4d4lQhs_0,45.5116,46.328,1014,950,71,29
Q2,Q2_--2B4d4lQhs_1,47.6986,48.2537,1706,1626,73,28
Q2,Q2_08t73Qgjkt4_0,31.8952,33.4855,532,458,50,28
Q2,Q2_08t73Qgjkt4_1,34.1899,35.4684,402,358,50,28
Q2,Q2_08t73Qgjkt4_2,39.0991,40.7066,1012,918,65,25
Q2,Q2_0J7lX-Tcx-w_0,39.1476,39.7459,570,542,60,25
Q2,Q2_0J7lX-Tcx-w_2,42.0527,42.6214,708,664,75,23
Q2,Q2_0v2N1ROvEI0_0,40.9234,41.2696,1832,1802,70,24
Q2,Q2_0v2N1ROvEI0_1,38.3708,38.8288,438,418,67,26
Q2,Q2_16OaOpfOPZ0_3,44.5179,45.3341,534,502,47,33
Q2,Q2_1EDThWjNxOI_0,33.9023,35.1315,296,266,39,44
Q2,Q2_1EDThWjNxOI_1,39.202,40.0014,336,302,51,34
Q2,Q2_1Q3MoBFh6eU_1,30.7014,31.7824,776,720,68,34
Q2,Q2_1kny88W533Q_0,35.8934,37.7474,288,244,48,24
Q2,Q2_1kny88W533Q_3,39.5948,40.2317,822,696,58,28
Q2,Q2_1kny88W533Q_4,43.5,44.3012,750,672,51,28
Q2,Q2_2uLw9Zs60A4_0,41.6577,42.8036,574,520,71,25
Q2,Q2_3ZnxqCZ7qGg_1,31.274,32.1456,380,354,28,48
Q2,Q2_3ZnxqCZ7qGg_2,37.3481,38.2289,568,540,43,45
Q2,Q2_3_MxhSS86oU_0,41.3501,41.7306,1070,994,57,24
Q2,Q2_48EYLEAgaBc_0,36.4531,37.331,192,128,43,36
Q2,Q2_48EYLEAgaBc_1,37.5816,38.2153,138,98,50,29
Q2,Q2_5CEAeMiXKaA_0,30.4358,30.9229,456,374,36,48
Q2,Q2_5NW0zDu6IYM_0,38.5601,39.6698,622,582,53,34
Q2,Q2_6n8HgIcJ6vo_0,38.7614,39.3828,328,264,32,39
Q2,Q2_78C_TpQDvVE_0,37.1418,37.5301,286,268,51,42
Q2,Q2_78C_TpQDvVE_1,33.7857,34.8437,556,504,56,37
Q2,Q2_7n32BtYb4d4_1,37.8879,38.0884,458,446,50,28
Q2,Q2_7n32BtYb4d4_3,42.6596,43.1491,724,664,60,28
Q2,Q2_9v2WSpn4FCw_2,40.7027,41.8007,592,528,59,27
Q2,Q2_9v2WSpn4FCw_6,44.6612,45.3711,2624,2456,74,24
Q2,Q2_ANZf1QXsNrY_6,43.9806,44.8497,550,516,53,24
Q2,Q2_ANZf1QXsNrY_7,42.9544,44.2419,966,922,60,28
Q2,Q2_AacIP9mDLw8_0,33.7102,34.0926,536,452,39,40
Q2,Q2_AacIP9mDLw8_2,32.0331,32.4471,592,514,42,37
Q2,Q2_BzqX-9TA-GY_1,31.6667,32.4863,284,258,48,32
Q2,Q2_BzqX-9TA-GY_2,32.1892,33.1776,342,296,55,27
Q2,Q2_CxFXrYgdSSI_0,28.392,29.6806,364,324,50,29
Q2,Q2_CxFXrYgdSSI_1,28.1377,29.3198,886,828,61,34
Q2,Q2_CxFXrYgdSSI_2,32.386,33.6042,978,912,68,33
Q2,Q2_D-gDPh9ZpFk_0,37.6205,38.2939,678,614,52,31
Q2,Q2_D-gDPh9ZpFk_2,42,42.7088,882,812,57,31
Q2,Q2_D5kyjnlDNZs_0,37.8787,39.3445,798,750,60,27
Q2,Q2_DYBBfpEx-JI_1,37.3852,38.4813,550,488,52,34
Q2,Q2_Dg935IbDggo_0,29.7274,31.5809,848,796,51,24
Q2,Q2_Dg935IbDggo_1,36.8154,37.5706,924,872,55,24
Q2,Q2_DhnX54kOW8U_0,40.0975,40.8243,748,718,60,24
Q2,Q2_EtAbPc20mn8_0,30.1658,31.538,436,392,70,23
Q2,Q2_FUAK5TBaNY8_1,43.558,44.3787,546,500,60,36
Q2,Q2_Ie5koh4qvJc_10,23.6877,25.1704,592,570,56,31
Q2,Q2_Ie5koh4qvJc_11,32.2969,33.55,1204,1162,60,36
Q2,Q2_Ie5koh4qvJc_13,35.1167,35.7671,1366,1302,43,52
Q2,Q2_Ie5koh4qvJc_26,26.465,27.8925,520,486,40,38
Q2,Q2_Ie5koh4qvJc_30,27.1084,28.3814,616,526,51,32
Q2,Q2_Ie5koh4qvJc_7,27.4755,29.0148,726,652,64,30
Q2,Q2_Ie5koh4qvJc_9,28.4597,29.4957,1010,968,46,33
Q2,Q2_Iq6g_4AwUWs_0,40.1993,41.0451,866,818,74,24
Q2,Q2_Iq6g_4AwUWs_1,44.2519,44.7068,580,532,72,24
Q2,Q2_JMt4m608s3k_2,46.5521,47.4697,982,922,72,26
Q2,Q2_JT1XJnVmABo_6,42.679,43.2728,830,782,75,24
Q2,Q2_Kk60F8a7-Jw_0,38.3321,39.0186,584,548,57,36
Q2,Q2_L3_TadjSQQ0_1,41.1203,41.3449,990,956,34,50
Q2,Q2_OCqMDeD6Fmc_1,39.1169,39.8085,782,744,60,24
Q2,Q2_OCqMDeD6Fmc_2,38.364,38.7785,1226,1162,57,27
Q2,Q2_P-We4q3goKU_1,33.7991,34.6347,298,234,55,26
Q2,Q2_P-We4q3goKU_4,32.2578,32.7146,316,256,36,45
Q2,Q2_P-We4q3goKU_6,34.4854,34.9198,838,686,46,36
Q2,Q2_Q5b5unyP8BM_0,42.0754,42.5,906,836,77,25
Q2,Q2_REq37pDAm3A_2,29.6125,30.6183,346,320,48,32
Q2,Q2_RiQMuhk_SuQ_1,33.6,33.9755,784,700,36,28
Q2,Q2_RiQMuhk_SuQ_2,36.0659,36.3503,2154,1852,53,29
Q2,Q2_S1T3UF1vhSk_1,17.6503,20.9441,318,306,49,31
Q2,Q2_S1T3UF1vhSk_2,27.1124,31.1692,514,498,67,32
Q2,Q2_S7Bo4-NCEDk_0,32.7605,33.8453,1070,1044,46,37
Q2,Q2_S7Bo4-NCEDk_1,35.4784,36.0672,988,972,46,37
Q2,Q2_S7Bo4-NCEDk_2,31.8745,33.485,486,462,51,44
Q2,Q2_TcFVq0leii4_1,29.2512,29.9199,900,808,38,43
Q2,Q2_TcFVq0leii4_2,32.1435,32.7232,1046,906,48,36
Q2,Q2_UAm0aWvzFI8_1,41.543,42.0895,892,814,74,24
Q2,Q2_UE0y8MHqT-g_1,47.1394,48.067,1094,1040,82,22
Q2,Q2_UJcnNfeCN1c_1,34.3912,34.8525,388,340,34,41
Q2,Q2_Uu-oRTRT6uQ_0,47.7115,48.4243,952,936,56,25
Q2,Q2_Uu-oRTRT6uQ_1,47.6285,48.0748,1062,1004,60,28
Q2,Q2_Uu-oRTRT6uQ_2,48.4718,49.0924,594,568,68,25
Q2,Q2_WBxql6cuU7c_0,32.8268,34.4209,1014,918,48,33
Q2,Q2_WQrPcuy50aA_0,35.081,35.3431,706,642,47,35
Q2,Q2_WQrPcuy50aA_1,35.3213,35.6645,648,582,50,36
Q2,Q2_ZTrEoB8T9YA_0,39.6294,40.8327,808,734,60,29
Q2,Q2_ZTrEoB8T9YA_1,37.4595,38.5409,428,370,55,34
Q2,Q2_ZTrEoB8T9YA_2,41.4325,42.4143,638,578,64,27
Q2,Q2_ZdyiXIlKe_Y_0,42.5368,43.0485,614,570,72,24
Q2,Q2__FVzelKlBFs_2,46.2689,46.5956,544,528,67,25
Q2,Q2__S991V8N-8s_1,34.8719,36.3718,688,562,76,24
Q2,Q2__vZOEQCYSaY_1,28.3075,29.9387,458,348,43,42
Q2,Q2_b8HVQtIoBYU_0,36.6449,37.1139,468,428,55,24
Q2,Q2_b8HVQtIoBYU_1,39.7076,40.2349,736,708,59,24
Q2,Q2_bfopzItCYrE_1,39.3943,40.2316,526,454,52,29
Q2,Q2_cFWdWpyvwag_0,35.7097,36.1129,562,472,31,41
Q2,Q2_cFWdWpyvwag_1,37.6343,38.0591,1232,1072,57,34
Q2,Q2_cm6E860vDjY_1,42.8427,44.0297,1034,966,65,26
Q2,Q2_cm6E860vDjY_2,43.0916,44.1052,828,764,69,26
Q2,Q2_dtS02mrDMsM_1,48.7887,49.2675,1070,994,75,24
Q2,Q2_ezoAduuCkUs_0,27.8256,29.8316,1094,1084,53,31
Q2,Q2_f2BXXa7lPuE_0,34.0138,35.096,532,508,67,24
Q2,Q2_fuCxYrru2S4_1,29.9647,32.3646,554,482,55,26
Q2,Q2_fuCxYrru2S4_2,34.013,35.272,858,768,56,26
Q2,Q2_gvWDOIiocuE_1,33.5,35.3244,716,658,51,38
Q2,Q2_ijfxkQPAQdE_1,32.9344,33.4977,1762,1722,46,40
Q2,Q2_ijfxkQPAQdE_2,30.8112,31.8868,1384,1266,38,53
Q2,Q2_ivCNV47tsRw_1,37.9254,38.6548,856,818,60,25
Q2,Q2_iwxwLEvqeD8_1,31.6969,32.4604,318,254,36,38
Q2,Q2_jIKX3ShvLxo_0,41.7524,42.4062,670,638,71,24
Q2,Q2_jO2zX6Ul8GM_0,25.0097,26.1191,292,206,37,37
Q2,Q2_jO2zX6Ul8GM_1,25.6947,26.89,352,262,41,37
Q2,Q2_jrVXitpLGMk_0,42.2351,42.6542,526,502,63,26
Q2,Q2_jrVXitpLGMk_1,42.4148,42.7743,844,810,64,24
Q2,Q2_k4lT-sXg3iI_0,38.5337,39.2953,530,504,26,38
Q2,Q2_k4lT-sXg3iI_1,39.5319,40.3651,528,502,41,35
Q2,Q2_kKFwiXKlhC8_0,45.7387,46.17,584,486,48,38
Q2,Q2_lalnGhxT3PQ_0,33.7667,34.7269,872,836,58,29
Q2,Q2_miqLU2739dk_0,42.3396,42.7036,726,692,67,24
Q2,Q2_mlHheZbblT0_1,43.4765,43.8562,574,554,72,24
Q2,Q2_pouxqiySdI8_1,43.0308,43.2649,618,552,48,33
Q2,Q2_qlbazHayULg_10,37.4057,38.3125,842,774,60,24
Q2,Q2_qlbazHayULg_12,42.3851,43.0498,820,766,71,24
Q2,Q2_qlbazHayULg_4,38.7886,39.6761,818,752,74,26
Q2,Q2_qlbazHayULg_5,41.9018,42.7127,808,774,78,24
Q2,Q2_rEz0D3VohFA_1,41.0959,42.0501,914,876,65,25
Q2,Q2_snfsc7pEzlk_0,35.3535,36.0301,416,396,54,27
Q2,Q2_ufRISSD28XA_0,46.6538,47.2139,498,442,60,24
Q2,Q2_ufRISSD28XA_1,50.1362,50.4459,546,514,68,31
Q2,Q2_wfXSdMsd4q8_5,42.5564,43.662,752,674,65,37
Q2,Q2_x5ibvz38jOs_0,42.8502,43.3343,564,534,67,25
Q2,Q2_yZGBxiNPu3k_0,38.8884,39.3358,790,708,45,22
Q2,Q2_yhIncZ_Ue4E_0,31.6103,32.3827,446,408,38,39
Q2,Q2_yhIncZ_Ue4E_1,34.5359,35.048,404,362,38,51
Q2,Q2_yhIncZ_Ue4E_2,33.6659,34.2385,462,422,48,37
Q2,Q2_yrvKReuwVlY_0,37.8889,39.4866,392,360,39,39
Q2,Q2_yrvKReuwVlY_1,44.7226,46.3514,312,292,48,34
Q2,Q2_yrvKReuwVlY_2,48.7521,49.476,1226,1174,67,27
Q2,Q2_z5ewpQwGDNw_0,40.125,40.7466,376,344,48,28
Q2,Q2_z5ewpQwGDNw_1,40.9476,41.4224,422,382,56,35
Q2,Q2_z5ewpQwGDNw_2,42.0278,42.7507,598,540,63,28
Q3,Q3_-vAz_HTFEXs_0,25.4633,26.8158,368,300,48,38
Q3,Q3_-vAz_HTFEXs_1,30.8619,32.436,458,420,48,41
Q3,Q3_02t1bj7ZABY_0,23.6642,25.2059,164,134,38,32
Q3,Q3_02t1bj7ZABY_1,22.9104,25.3081,390,346,48,34
Q3,Q3_0EWWyyV7RJA_0,18.3362,20.3726,606,580,51,30
Q3,Q3_0c2dTJTDUR4_0,36.6646,37.51,202,164,36,28
Q3,Q3_0lEL_XHyhuU_0,27.7278,29.221,204,158,36,38
Q3,Q3_0lEL_XHyhuU_1,26.724,27.9785,302,250,36,40
Q3,Q3_0lEL_XHyhuU_2,27.7097,29.305,310,248,52,38
Q3,Q3_0lEL_XHyhuU_3,27.9884,29.2295,216,172,57,26
Q3,Q3_0vLPYiPN7qY_3,24.8031,26.3077,834,772,35,37
Q3,Q3_0wRQRwnQiqY_0,21.9841,23.265,616,504,60,30
Q3,Q3_1Q3MoBFh6eU_2,23.88,25.1825,502,450,45,45
Q3,Q3_1kny88W533Q_1,25.1536,27.0699,356,306,31,45
Q3,Q3_2eIsQtm4YNs_0,32.3258,33.1957,430,356,37,40
Q3,Q3_2eIsQtm4YNs_1,32.335,33.4238,482,412,43,41
Q3,Q3_2v6gJi03LlA_1,27.2821,30.4393,622,560,51,36
Q3,Q3_3ZnxqCZ7qGg_0,28.6722,29.8407,216,180,21,48
Q3,Q3_4Er-eFHSHA4_1,16.5517,18.6453,440,406,59,24
Q3,Q3_77z6Ep3aOmg_0,22.0375,23.2315,496,400,38,38
Q3,Q3_77z6Ep3aOmg_1,21.6534,22.9657,674,580,43,38
Q3,Q3_7JIdJLkJ0S4_0,18.2588,20.2732,516,456,70,25
Q3,Q3_7JIdJLkJ0S4_1,21.368,23.1816,722,682,56,22
Q3,Q3_9Xg69XrVaYU_1,19.3355,21.3979,476,468,50,41
Q3,Q3_9Xg69XrVaYU_2,18.2462,19.2659,530,524,38,29
